,texto
850,"common sense, and discover when it is too late that the only things one never regrets are one’s mistakes.”"
851,A laugh ran round the table.
852,He played with the idea and grew wilful; tossed it into the air and transformed it; let it escape and recaptured
853,"it; made it iridescent with fancy and winged it with paradox. The praise of folly, as he went on, soared into a"
854,"philosophy, and philosophy herself became young, and catching the mad music of pleasure, wearing, one might"
855,"fancy, her wine-stained robe and wreath of ivy, danced like a Bacchante over the hills of life, and mocked the"
856,slow Silenus for being sober. Facts ﬂed before her like frightened forest things. Her white feet trod the huge
857,"press at which wise Omar sits, till the seething grape-juice rose round her bare limbs in waves of purple"
858,"bubbles, or crawled in red foam over the vat’s black, dripping, sloping sides. It was an extraordinary"
859,"improvisation. He felt that the eyes of Dorian Gray were ﬁxed on him, and the consciousness that amongst his"
860,audience there was one whose temperament he wished to fascinate seemed to give his wit keenness and to
861,"lend colour to his imagination. He was brilliant, fantastic, irresponsible. He charmed his listeners out of"
862,"themselves, and they followed his pipe, laughing. Dorian Gray never took his gaze oﬀ him, but sat like one"
863,"under a spell, smiles chasing each other over his lips and wonder growing grave in his darkening eyes."
864,"At last, liveried in the costume of the age, reality entered the room in the shape of a servant to tell the"
865,duchess that her carriage was waiting. She wrung her hands in mock despair. “How annoying!” she cried. “I
866,"must go. I have to call for my husband at the club, to take him to some absurd meeting at Willis’s Rooms, where"
867,"he is going to be in the chair. If I am late he is sure to be furious, and I couldn’t have a scene in this bonnet. It is"
868,"far too fragile. A harsh word would ruin it. No, I must go, dear Agatha. Good-bye, Lord Henry, you are quite"
869,delightful and dreadfully demoralizing. I am sure I don’t know what to say about your views. You must come and
870,dine with us some night. Tuesday? Are you disengaged Tuesday?”
871,"“For you I would throw over anybody, Duchess,” said Lord Henry with a bow."
872,"“Ah! that is very nice, and very wrong of you,” she cried; “so mind you come”; and she swept out of the room,"
873,followed by Lady Agatha and the other ladies.
874,"When Lord Henry had sat down again, Mr. Erskine moved round, and taking a chair close to him, placed his"
875,hand upon his arm.
876,"“You talk books away,” he said; “why don’t you write one?”"
877,"“I am too fond of reading books to care to write them, Mr. Erskine. I should like to write a novel certainly, a"
878,novel that would be as lovely as a Persian carpet and as unreal. But there is no literary public in England for
879,"anything except newspapers, primers, and encyclopaedias. Of all people in the world the English have the least"
880,sense of the beauty of literature.”
881,"“I fear you are right,” answered Mr. Erskine. “I myself used to have literary ambitions, but I gave them up long"
882,"ago. And now, my dear young friend, if you will allow me to call you so, may I ask if you really meant all that you"
883,said to us at lunch?”
884,"“I quite forget what I said,” smiled Lord Henry. “Was it all very bad?”"
885,"“Very bad indeed. In fact I consider you extremely dangerous, and if anything happens to our good duchess,"
886,we shall all look on you as being primarily responsible. But I should like to talk to you about life. The generation
887,"into which I was born was tedious. Some day, when you are tired of London, come down to Treadley and"
888,expound to me your philosophy of pleasure over some admirable Burgundy I am fortunate enough to possess.”
889,"“I shall be charmed. A visit to Treadley would be a great privilege. It has a perfect host, and a perfect library.”"
890,"“You will complete it,” answered the old gentleman with a courteous bow. “And now I must bid good-bye to"
891,your excellent aunt. I am due at the Athenaeum. It is the hour when we sleep there.”
892,"“All of you, Mr. Erskine?”"
893,"“Forty of us, in forty arm-chairs. We are practising for an English Academy of Letters.”"
894,"Lord Henry laughed and rose. “I am going to the park,” he cried."
895,"As he was passing out of the door, Dorian Gray touched him on the arm. “Let me come with you,” he"
896,murmured.
897,"“But I thought you had promised Basil Hallward to go and see him,” answered Lord Henry."
898,"“I would sooner come with you; yes, I feel I must come with you. Do let me. And you will promise to talk to me"
899,all the time? No one talks so wonderfully as you do.”
900,"  “Ah! I have talked quite enough for to-day,” said Lord Henry, smiling. “All I want now is to look at life. You may"
901,"come and look at it with me, if you care to.”"
902,                                               CHAPTER IV.
903,"One afternoon, a month later, Dorian Gray was reclining in a luxurious arm-chair, in the little library of Lord"
904,"Henry’s house in Mayfair. It was, in its way, a very charming room, with its high panelled wainscoting of olive-"
905,"stained oak, its cream-coloured frieze and ceiling of raised plasterwork, and its brickdust felt carpet strewn with"
906,"silk, long-fringed Persian rugs. On a tiny satinwood table stood a statuette by Clodion, and beside it lay a copy"
907,"of Les Cent Nouvelles, bound for Margaret of Valois by Clovis Eve and powdered with the gilt daisies that"
908,Queen had selected for her device. Some large blue china jars and parrot-tulips were ranged on the
909,"mantelshelf, and through the small leaded panes of the window streamed the apricot-coloured light of a summer"
910,day in London.
911,"Lord Henry had not yet come in. He was always late on principle, his principle being that punctuality is the"
912,"thief of time. So the lad was looking rather sulky, as with listless ﬁngers he turned over the pages of an"
913,elaborately illustrated edition of Manon Lescaut that he had found in one of the book-cases. The formal
914,monotonous ticking of the Louis Quatorze clock annoyed him. Once or twice he thought of going away.
915,"At last he heard a step outside, and the door opened. “How late you are, Harry!” he murmured."
916,"“I am afraid it is not Harry, Mr. Gray,” answered a shrill voice."
917,He glanced quickly round and rose to his feet. “I beg your pardon. I thought—”
918,“You thought it was my husband. It is only his wife. You must let me introduce myself. I know you quite well by
919,your photographs. I think my husband has got seventeen of them.”
920,"“Not seventeen, Lady Henry?”"
921,"“Well, eighteen, then. And I saw you with him the other night at the opera.” She laughed nervously as she"
922,"spoke, and watched him with her vague forget-me-not eyes. She was a curious woman, whose dresses always"
923,"looked as if they had been designed in a rage and put on in a tempest. She was usually in love with somebody,"
924,"and, as her passion was never returned, she had kept all her illusions. She tried to look picturesque, but only"
925,"succeeded in being untidy. Her name was Victoria, and she had a perfect mania for going to church."
926,"“That was at Lohengrin, Lady Henry, I think?”"
927,“Yes; it was at dear Lohengrin. I like Wagner’s music better than anybody’s. It is so loud that one can talk the
928,"whole time without other people hearing what one says. That is a great advantage, don’t you think so, Mr."
929,Gray?”
930,"The same nervous staccato laugh broke from her thin lips, and her ﬁngers began to play with a long tortoise-"
931,shell paper-knife.
932,"Dorian smiled and shook his head: “I am afraid I don’t think so, Lady Henry. I never talk during music—at"
933,"least, during good music. If one hears bad music, it is one’s duty to drown it in conversation.”"
934,"“Ah! that is one of Harry’s views, isn’t it, Mr. Gray? I always hear Harry’s views from his friends. It is the only"
935,"way I get to know of them. But you must not think I don’t like good music. I adore it, but I am afraid of it. It makes"
936,"me too romantic. I have simply worshipped pianists—two at a time, sometimes, Harry tells me. I don’t know"
937,"what it is about them. Perhaps it is that they are foreigners. They all are, ain’t they? Even those that are born in"
938,"England become foreigners after a time, don’t they? It is so clever of them, and such a compliment to art. Makes"
939,"it quite cosmopolitan, doesn’t it? You have never been to any of my parties, have you, Mr. Gray? You must"
940,"come. I can’t aﬀord orchids, but I spare no expense in foreigners. They make one’s rooms look so picturesque."
941,"But here is Harry! Harry, I came in to look for you, to ask you something—I forget what it was—and I found Mr."
942,Gray here. We have had such a pleasant chat about music. We have quite the same ideas. No; I think our ideas
943,are quite different. But he has been most pleasant. I am so glad I’ve seen him.”
944,"“I am charmed, my love, quite charmed,” said Lord Henry, elevating his dark, crescent-shaped eyebrows and"
945,"looking at them both with an amused smile. “So sorry I am late, Dorian. I went to look after a piece of old"
946,brocade in Wardour Street and had to bargain for hours for it. Nowadays people know the price of everything
947,and the value of nothing.”
948,"“I am afraid I must be going,” exclaimed Lady Henry, breaking an awkward silence with her silly sudden"
949,"laugh. “I have promised to drive with the duchess. Good-bye, Mr. Gray. Good-bye, Harry. You are dining out, I"
950,suppose? So am I. Perhaps I shall see you at Lady Thornbury’s.”
951,"“I dare say, my dear,” said Lord Henry, shutting the door behind her as, looking like a bird of paradise that had"
952,"been out all night in the rain, she ﬂitted out of the room, leaving a faint odour of frangipanni. Then he lit a"
953,cigarette and flung himself down on the sofa.
954,"“Never marry a woman with straw-coloured hair, Dorian,” he said after a few puffs."
955,"“Why, Harry?”"
956,“Because they are so sentimental.”
957,“But I like sentimental people.”
958,"“Never marry at all, Dorian. Men marry because they are tired; women, because they are curious: both are"
959,disappointed.”
960,"“I don’t think I am likely to marry, Harry. I am too much in love. That is one of your aphorisms. I am putting it"
961,"into practice, as I do everything that you say.”"
962,“Who are you in love with?” asked Lord Henry after a pause.
963,"“With an actress,” said Dorian Gray, blushing."
964,Lord Henry shrugged his shoulders. “That is a rather commonplace début.”
965,"“You would not say so if you saw her, Harry.”"
966,“Who is she?”
967,“Her name is Sibyl Vane.”
968,   “Never heard of her.”
969,"“No one has. People will some day, however. She is a genius.”"
970,"“My dear boy, no woman is a genius. Women are a decorative sex. They never have anything to say, but they"
971,"say it charmingly. Women represent the triumph of matter over mind, just as men represent the triumph of mind"
972,over morals.”
973,"“Harry, how can you?”"
974,"“My dear Dorian, it is quite true. I am analysing women at present, so I ought to know. The subject is not so"
975,"abstruse as I thought it was. I ﬁnd that, ultimately, there are only two kinds of women, the plain and the"
976,"coloured. The plain women are very useful. If you want to gain a reputation for respectability, you have merely"
977,"to take them down to supper. The other women are very charming. They commit one mistake, however. They"
978,paint in order to try and look young. Our grandmothers painted in order to try and talk brilliantly. Rouge and
979,esprit used to go together. That is all over now. As long as a woman can look ten years younger than her own
980,"daughter, she is perfectly satisﬁed. As for conversation, there are only ﬁve women in London worth talking to,"
981,"and two of these can’t be admitted into decent society. However, tell me about your genius. How long have you"
982,known her?”
983,"“Ah! Harry, your views terrify me.”"
984,“Never mind that. How long have you known her?”
985,“About three weeks.”
986,“And where did you come across her?”
987,"“I will tell you, Harry, but you mustn’t be unsympathetic about it. After all, it never would have happened if I"
988,"had not met you. You ﬁlled me with a wild desire to know everything about life. For days after I met you,"
989,"something seemed to throb in my veins. As I lounged in the park, or strolled down Piccadilly, I used to look at"
990,"every one who passed me and wonder, with a mad curiosity, what sort of lives they led. Some of them"
991,fascinated me. Others ﬁlled me with terror. There was an exquisite poison in the air. I had a passion for
992,"sensations.... Well, one evening about seven o’clock, I determined to go out in search of some adventure. I felt"
993,"that this grey monstrous London of ours, with its myriads of people, its sordid sinners, and its splendid sins, as"
994,"you once phrased it, must have something in store for me. I fancied a thousand things. The mere danger gave"
995,me a sense of delight. I remembered what you had said to me on that wonderful evening when we ﬁrst dined
996,"together, about the search for beauty being the real secret of life. I don’t know what I expected, but I went out"
997,"and wandered eastward, soon losing my way in a labyrinth of grimy streets and black grassless squares. About"
998,"half-past eight I passed by an absurd little theatre, with great ﬂaring gas-jets and gaudy play-bills. A hideous"
999,"Jew, in the most amazing waistcoat I ever beheld in my life, was standing at the entrance, smoking a vile cigar."
1000,"He had greasy ringlets, and an enormous diamond blazed in the centre of a soiled shirt. ‘Have a box, my Lord?’"
1001,"he said, when he saw me, and he took oﬀ his hat with an air of gorgeous servility. There was something about"
1002,"him, Harry, that amused me. He was such a monster. You will laugh at me, I know, but I really went in and paid"
1003,a whole guinea for the stage-box. To the present day I can’t make out why I did so; and yet if I hadn’t—my dear
1004,"Harry, if I hadn’t—I should have missed the greatest romance of my life. I see you are laughing. It is horrid of"
1005,you!”
1006,"“I am not laughing, Dorian; at least I am not laughing at you. But you should not say the greatest romance of"
1007,"your life. You should say the ﬁrst romance of your life. You will always be loved, and you will always be in love"
1008,with love. A grande passion is the privilege of people who have nothing to do. That is the one use of the idle
1009,classes of a country. Don’t be afraid. There are exquisite things in store for you. This is merely the beginning.”
1010,“Do you think my nature so shallow?” cried Dorian Gray angrily.
1011,“No; I think your nature so deep.”
1012,“How do you mean?”
1013,"“My dear boy, the people who love only once in their lives are really the shallow people. What they call their"
1014,"loyalty, and their ﬁdelity, I call either the lethargy of custom or their lack of imagination. Faithfulness is to the"
1015,emotional life what consistency is to the life of the intellect—simply a confession of failure. Faithfulness! I must
1016,analyse it some day. The passion for property is in it. There are many things that we would throw away if we
1017,were not afraid that others might pick them up. But I don’t want to interrupt you. Go on with your story.”
1018,"“Well, I found myself seated in a horrid little private box, with a vulgar drop-scene staring me in the face. I"
1019,"looked out from behind the curtain and surveyed the house. It was a tawdry aﬀair, all Cupids and cornucopias,"
1020,"like a third-rate wedding-cake. The gallery and pit were fairly full, but the two rows of dingy stalls were quite"
1021,"empty, and there was hardly a person in what I suppose they called the dress-circle. Women went about with"
1022,"oranges and ginger-beer, and there was a terrible consumption of nuts going on.”"
1023,“It must have been just like the palmy days of the British drama.”
1024,"“Just like, I should fancy, and very depressing. I began to wonder what on earth I should do when I caught"
1025,"sight of the play-bill. What do you think the play was, Harry?”"
1026,"“I should think ‘The Idiot Boy’, or ‘Dumb but Innocent’. Our fathers used to like that sort of piece, I believe."
1027,"The longer I live, Dorian, the more keenly I feel that whatever was good enough for our fathers is not good"
1028,"enough for us. In art, as in politics, les grandpères ont toujours tort.”"
1029,"“This play was good enough for us, Harry. It was Romeo and Juliet. I must admit that I was rather annoyed at"
1030,"the idea of seeing Shakespeare done in such a wretched hole of a place. Still, I felt interested, in a sort of way."
1031,"At any rate, I determined to wait for the ﬁrst act. There was a dreadful orchestra, presided over by a young"
1032,"Hebrew who sat at a cracked piano, that nearly drove me away, but at last the drop-scene was drawn up and"
1033,"the play began. Romeo was a stout elderly gentleman, with corked eyebrows, a husky tragedy voice, and a"
1034,"ﬁgure like a beer-barrel. Mercutio was almost as bad. He was played by the low-comedian, who had introduced"
1035,"gags of his own and was on most friendly terms with the pit. They were both as grotesque as the scenery, and"
1036,"that looked as if it had come out of a country-booth. But Juliet! Harry, imagine a girl, hardly seventeen years of"
1037,"age, with a little, ﬂowerlike face, a small Greek head with plaited coils of dark-brown hair, eyes that were violet"
1038,"wells of passion, lips that were like the petals of a rose. She was the loveliest thing I had ever seen in my life."
1039,"You said to me once that pathos left you unmoved, but that beauty, mere beauty, could ﬁll your eyes with tears."
1040,"I tell you, Harry, I could hardly see this girl for the mist of tears that came across me. And her voice—I never"
1041,"heard such a voice. It was very low at ﬁrst, with deep mellow notes that seemed to fall singly upon one’s ear."
1042,"Then it became a little louder, and sounded like a ﬂute or a distant hautboy. In the garden-scene it had all the"
1043,"tremulous ecstasy that one hears just before dawn when nightingales are singing. There were moments, later"
1044,"on, when it had the wild passion of violins. You know how a voice can stir one. Your voice and the voice of Sibyl"
1045,"Vane are two things that I shall never forget. When I close my eyes, I hear them, and each of them says"
1046,"something diﬀerent. I don’t know which to follow. Why should I not love her? Harry, I do love her. She is"
1047,"everything to me in life. Night after night I go to see her play. One evening she is Rosalind, and the next evening"
1048,"she is Imogen. I have seen her die in the gloom of an Italian tomb, sucking the poison from her lover’s lips. I"
1049,"have watched her wandering through the forest of Arden, disguised as a pretty boy in hose and doublet and"
1050,"dainty cap. She has been mad, and has come into the presence of a guilty king, and given him rue to wear and"
1051,"bitter herbs to taste of. She has been innocent, and the black hands of jealousy have crushed her reedlike"
1052,throat. I have seen her in every age and in every costume. Ordinary women never appeal to one’s imagination.
1053,They are limited to their century. No glamour ever transﬁgures them. One knows their minds as easily as one
1054,knows their bonnets. One can always ﬁnd them. There is no mystery in any of them. They ride in the park in the
1055,morning and chatter at tea-parties in the afternoon. They have their stereotyped smile and their fashionable
1056,manner. They are quite obvious. But an actress! How diﬀerent an actress is! Harry! why didn’t you tell me that
1057,the only thing worth loving is an actress?”
1058,"“Because I have loved so many of them, Dorian.”"
1059,"“Oh, yes, horrid people with dyed hair and painted faces.”"
1060,"“Don’t run down dyed hair and painted faces. There is an extraordinary charm in them, sometimes,” said Lord"
1061,Henry.
1062,“I wish now I had not told you about Sibyl Vane.”
1063,"“You could not have helped telling me, Dorian. All through your life you will tell me everything you do.”"
1064,"“Yes, Harry, I believe that is true. I cannot help telling you things. You have a curious inﬂuence over me. If I"
1065,"ever did a crime, I would come and confess it to you. You would understand me.”"
1066,"“People like you—the wilful sunbeams of life—don’t commit crimes, Dorian. But I am much obliged for the"
1067,"compliment, all the same. And now tell me—reach me the matches, like a good boy—thanks—what are your"
1068,actual relations with Sibyl Vane?”
1069,"Dorian Gray leaped to his feet, with flushed cheeks and burning eyes. “Harry! Sibyl Vane is sacred!”"
1070,"“It is only the sacred things that are worth touching, Dorian,” said Lord Henry, with a strange touch of pathos"
1071,"in his voice. “But why should you be annoyed? I suppose she will belong to you some day. When one is in love,"
1072,"one always begins by deceiving one’s self, and one always ends by deceiving others. That is what the world"
1073,"calls a romance. You know her, at any rate, I suppose?”"
1074,"“Of course I know her. On the ﬁrst night I was at the theatre, the horrid old Jew came round to the box after"
1075,the performance was over and oﬀered to take me behind the scenes and introduce me to her. I was furious with
1076,"him, and told him that Juliet had been dead for hundreds of years and that her body was lying in a marble tomb"
1077,"in Verona. I think, from his blank look of amazement, that he was under the impression that I had taken too"
1078,"much champagne, or something.”"
1079,“I am not surprised.”
1080,“Then he asked me if I wrote for any of the newspapers. I told him I never even read them. He seemed terribly
1081,"disappointed at that, and conﬁded to me that all the dramatic critics were in a conspiracy against him, and that"
1082,they were every one of them to be bought.”
1083,"“I should not wonder if he was quite right there. But, on the other hand, judging from their appearance, most"
1084,of them cannot be at all expensive.”
1085,"“Well, he seemed to think they were beyond his means,” laughed Dorian. “By this time, however, the lights"
1086,"were being put out in the theatre, and I had to go. He wanted me to try some cigars that he strongly"
1087,"recommended. I declined. The next night, of course, I arrived at the place again. When he saw me, he made me"
1088,"a low bow and assured me that I was a muniﬁcent patron of art. He was a most oﬀensive brute, though he had"
1089,"an extraordinary passion for Shakespeare. He told me once, with an air of pride, that his ﬁve bankruptcies were"
1090,"entirely due to ‘The Bard,’ as he insisted on calling him. He seemed to think it a distinction.”"
1091,"“It was a distinction, my dear Dorian—a great distinction. Most people become bankrupt through having"
1092,invested too heavily in the prose of life. To have ruined one’s self over poetry is an honour. But when did you
1093,first speak to Miss Sibyl Vane?”
1094,"“The third night. She had been playing Rosalind. I could not help going round. I had thrown her some ﬂowers,"
1095,and she had looked at me—at least I fancied that she had. The old Jew was persistent. He seemed determined
1096,"to take me behind, so I consented. It was curious my not wanting to know her, wasn’t it?”"
1097,“No; I don’t think so.”
1098,"“My dear Harry, why?”"
1099,“I will tell you some other time. Now I want to know about the girl.”
1100,"“Sibyl? Oh, she was so shy and so gentle. There is something of a child about her. Her eyes opened wide in"
1101,"exquisite wonder when I told her what I thought of her performance, and she seemed quite unconscious of her"
1102,"power. I think we were both rather nervous. The old Jew stood grinning at the doorway of the dusty greenroom,"
1103,"making elaborate speeches about us both, while we stood looking at each other like children. He would insist on"
1104,"calling me ‘My Lord,’ so I had to assure Sibyl that I was not anything of the kind. She said quite simply to me,"
1105,‘You look more like a prince. I must call you Prince Charming.’”
1106,"    “Upon my word, Dorian, Miss Sibyl knows how to pay compliments.”"
1107,"“You don’t understand her, Harry. She regarded me merely as a person in a play. She knows nothing of life."
1108,"She lives with her mother, a faded tired woman who played Lady Capulet in a sort of magenta dressing-wrapper"
1109,"on the first night, and looks as if she had seen better days.”"
1110,"“I know that look. It depresses me,” murmured Lord Henry, examining his rings."
1111,"“The Jew wanted to tell me her history, but I said it did not interest me.”"
1112,“You were quite right. There is always something infinitely mean about other people’s tragedies.”
1113,“Sibyl is the only thing I care about. What is it to me where she came from? From her little head to her little
1114,"feet, she is absolutely and entirely divine. Every night of my life I go to see her act, and every night she is more"
1115,marvellous.”
1116,"“That is the reason, I suppose, that you never dine with me now. I thought you must have some curious"
1117,romance on hand. You have; but it is not quite what I expected.”
1118,"“My dear Harry, we either lunch or sup together every day, and I have been to the opera with you several"
1119,"times,” said Dorian, opening his blue eyes in wonder."
1120,“You always come dreadfully late.”
1121,"“Well, I can’t help going to see Sibyl play,” he cried, “even if it is only for a single act. I get hungry for her"
1122,"presence; and when I think of the wonderful soul that is hidden away in that little ivory body, I am ﬁlled with"
1123,awe.”
1124,"“You can dine with me to-night, Dorian, can’t you?”"
1125,"He shook his head. “To-night she is Imogen,” he answered, “and to-morrow night she will be Juliet.”"
1126,“When is she Sibyl Vane?”
1127,“Never.”
1128,“I congratulate you.”
1129,“How horrid you are! She is all the great heroines of the world in one. She is more than an individual. You
1130,"laugh, but I tell you she has genius. I love her, and I must make her love me. You, who know all the secrets of"
1131,"life, tell me how to charm Sibyl Vane to love me! I want to make Romeo jealous. I want the dead lovers of the"
1132,"world to hear our laughter and grow sad. I want a breath of our passion to stir their dust into consciousness, to"
1133,"wake their ashes into pain. My God, Harry, how I worship her!” He was walking up and down the room as he"
1134,spoke. Hectic spots of red burned on his cheeks. He was terribly excited.
1135,Lord Henry watched him with a subtle sense of pleasure. How diﬀerent he was now from the shy frightened
1136,"boy he had met in Basil Hallward’s studio! His nature had developed like a ﬂower, had borne blossoms of"
1137,"scarlet flame. Out of its secret hiding-place had crept his soul, and desire had come to meet it on the way."
1138,“And what do you propose to do?” said Lord Henry at last.
1139,“I want you and Basil to come with me some night and see her act. I have not the slightest fear of the result.
1140,You are certain to acknowledge her genius. Then we must get her out of the Jew’s hands. She is bound to him
1141,for three years—at least for two years and eight months—from the present time. I shall have to pay him
1142,"something, of course. When all that is settled, I shall take a West End theatre and bring her out properly. She"
1143,will make the world as mad as she has made me.”
1144,"“That would be impossible, my dear boy.”"
1145,"“Yes, she will. She has not merely art, consummate art-instinct, in her, but she has personality also; and you"
1146,"have often told me that it is personalities, not principles, that move the age.”"
1147,"“Well, what night shall we go?”"
1148,“Let me see. To-day is Tuesday. Let us fix to-morrow. She plays Juliet to-morrow.”
1149,“All right. The Bristol at eight o’clock; and I will get Basil.”
1150,"“Not eight, Harry, please. Half-past six. We must be there before the curtain rises. You must see her in the"
1151,"first act, where she meets Romeo.”"
1152,"“Half-past six! What an hour! It will be like having a meat-tea, or reading an English novel. It must be seven."
1153,No gentleman dines before seven. Shall you see Basil between this and then? Or shall I write to him?”
1154,"“Dear Basil! I have not laid eyes on him for a week. It is rather horrid of me, as he has sent me my portrait in"
1155,"the most wonderful frame, specially designed by himself, and, though I am a little jealous of the picture for being"
1156,"a whole month younger than I am, I must admit that I delight in it. Perhaps you had better write to him. I don’t"
1157,want to see him alone. He says things that annoy me. He gives me good advice.”
1158,Lord Henry smiled. “People are very fond of giving away what they need most themselves. It is what I call the
1159,depth of generosity.”
1160,"“Oh, Basil is the best of fellows, but he seems to me to be just a bit of a Philistine. Since I have known you,"
1161,"Harry, I have discovered that.”"
1162,"“Basil, my dear boy, puts everything that is charming in him into his work. The consequence is that he has"
1163,"nothing left for life but his prejudices, his principles, and his common sense. The only artists I have ever known"
1164,"who are personally delightful are bad artists. Good artists exist simply in what they make, and consequently are"
1165,"perfectly uninteresting in what they are. A great poet, a really great poet, is the most unpoetical of all creatures."
1166,"But inferior poets are absolutely fascinating. The worse their rhymes are, the more picturesque they look. The"
1167,mere fact of having published a book of second-rate sonnets makes a man quite irresistible. He lives the poetry
1168,that he cannot write. The others write the poetry that they dare not realize.”
1169,"“I wonder is that really so, Harry?” said Dorian Gray, putting some perfume on his handkerchief out of a large,"
1170,"gold-topped bottle that stood on the table. “It must be, if you say it. And now I am oﬀ. Imogen is waiting for me."
1171,Don’t forget about to-morrow. Good-bye.”
1172,"As he left the room, Lord Henry’s heavy eyelids drooped, and he began to think. Certainly few people had"
1173,"ever interested him so much as Dorian Gray, and yet the lad’s mad adoration of some one else caused him not"
1174,the slightest pang of annoyance or jealousy. He was pleased by it. It made him a more interesting study. He had
1175,"been always enthralled by the methods of natural science, but the ordinary subject-matter of that science had"
1176,"seemed to him trivial and of no import. And so he had begun by vivisecting himself, as he had ended by"
1177,vivisecting others. Human life—that appeared to him the one thing worth investigating. Compared to it there was
1178,"nothing else of any value. It was true that as one watched life in its curious crucible of pain and pleasure, one"
1179,"could not wear over one’s face a mask of glass, nor keep the sulphurous fumes from troubling the brain and"
1180,making the imagination turbid with monstrous fancies and misshapen dreams. There were poisons so subtle
1181,that to know their properties one had to sicken of them. There were maladies so strange that one had to pass
1182,"through them if one sought to understand their nature. And, yet, what a great reward one received! How"
1183,"wonderful the whole world became to one! To note the curious hard logic of passion, and the emotional"
1184,"coloured life of the intellect—to observe where they met, and where they separated, at what point they were in"
1185,"unison, and at what point they were at discord—there was a delight in that! What matter what the cost was?"
1186,One could never pay too high a price for any sensation.
1187,He was conscious—and the thought brought a gleam of pleasure into his brown agate eyes—that it was
1188,"through certain words of his, musical words said with musical utterance, that Dorian Gray’s soul had turned to"
1189,this white girl and bowed in worship before her. To a large extent the lad was his own creation. He had made
1190,"him premature. That was something. Ordinary people waited till life disclosed to them its secrets, but to the few,"
1191,"to the elect, the mysteries of life were revealed before the veil was drawn away. Sometimes this was the eﬀect"
1192,"of art, and chieﬂy of the art of literature, which dealt immediately with the passions and the intellect. But now"
1193,"and then a complex personality took the place and assumed the oﬃce of art, was indeed, in its way, a real work"
1194,"of art, life having its elaborate masterpieces, just as poetry has, or sculpture, or painting."
1195,"Yes, the lad was premature. He was gathering his harvest while it was yet spring. The pulse and passion of"
1196,"youth were in him, but he was becoming self-conscious. It was delightful to watch him. With his beautiful face,"
1197,"and his beautiful soul, he was a thing to wonder at. It was no matter how it all ended, or was destined to end. He"
1198,"was like one of those gracious ﬁgures in a pageant or a play, whose joys seem to be remote from one, but"
1199,"whose sorrows stir one’s sense of beauty, and whose wounds are like red roses."
1200,"Soul and body, body and soul—how mysterious they were! There was animalism in the soul, and the body"
1201,"had its moments of spirituality. The senses could reﬁne, and the intellect could degrade. Who could say where"
1202,"the ﬂeshly impulse ceased, or the psychical impulse began? How shallow were the arbitrary deﬁnitions of"
1203,ordinary psychologists! And yet how diﬃcult to decide between the claims of the various schools! Was the soul
1204,"a shadow seated in the house of sin? Or was the body really in the soul, as Giordano Bruno thought? The"
1205,"separation of spirit from matter was a mystery, and the union of spirit with matter was a mystery also."
1206,He began to wonder whether we could ever make psychology so absolute a science that each little spring of
1207,"life would be revealed to us. As it was, we always misunderstood ourselves and rarely understood others."
1208,"Experience was of no ethical value. It was merely the name men gave to their mistakes. Moralists had, as a"
1209,"rule, regarded it as a mode of warning, had claimed for it a certain ethical eﬃcacy in the formation of character,"
1210,had praised it as something that taught us what to follow and showed us what to avoid. But there was no motive
1211,power in experience. It was as little of an active cause as conscience itself. All that it really demonstrated was
1212,"that our future would be the same as our past, and that the sin we had done once, and with loathing, we would"
1213,"do many times, and with joy."
1214,It was clear to him that the experimental method was the only method by which one could arrive at any
1215,"scientiﬁc analysis of the passions; and certainly Dorian Gray was a subject made to his hand, and seemed to"
1216,promise rich and fruitful results. His sudden mad love for Sibyl Vane was a psychological phenomenon of no
1217,"small interest. There was no doubt that curiosity had much to do with it, curiosity and the desire for new"
1218,"experiences, yet it was not a simple, but rather a very complex passion. What there was in it of the purely"
1219,"sensuous instinct of boyhood had been transformed by the workings of the imagination, changed into something"
1220,"that seemed to the lad himself to be remote from sense, and was for that very reason all the more dangerous. It"
1221,was the passions about whose origin we deceived ourselves that tyrannized most strongly over us. Our weakest
1222,motives were those of whose nature we were conscious. It often happened that when we thought we were
1223,experimenting on others we were really experimenting on ourselves.
1224,"While Lord Henry sat dreaming on these things, a knock came to the door, and his valet entered and"
1225,reminded him it was time to dress for dinner. He got up and looked out into the street. The sunset had smitten
1226,into scarlet gold the upper windows of the houses opposite. The panes glowed like plates of heated metal. The
1227,sky above was like a faded rose. He thought of his friend’s young ﬁery-coloured life and wondered how it was all
1228,going to end.
1229,"When he arrived home, about half-past twelve o’clock, he saw a telegram lying on the hall table. He opened it"
1230,and found it was from Dorian Gray. It was to tell him that he was engaged to be married to Sibyl Vane.
1231,                                               CHAPTER V.
1232,"“Mother, Mother, I am so happy!” whispered the girl, burying her face in the lap of the faded, tired-looking"
1233,"woman who, with back turned to the shrill intrusive light, was sitting in the one arm-chair that their dingy sitting-"
1234,"room contained. “I am so happy!” she repeated, “and you must be happy, too!”"
1235,"Mrs. Vane winced and put her thin, bismuth-whitened hands on her daughter’s head. “Happy!” she echoed, “I"
1236,"am only happy, Sibyl, when I see you act. You must not think of anything but your acting. Mr. Isaacs has been"
1237,"very good to us, and we owe him money.”"
1238,"The girl looked up and pouted. “Money, Mother?” she cried, “what does money matter? Love is more than"
1239,money.”
